name,place_id,latitude,longitude,address,rating
The Andys Veterinary Clinic - Loresho,ChIJ4Swamq0ZLxgR4q_7FHPaauk,-1.2505608,36.7601417,"No. 46, Loresho Ridge, Nairobi City, Kenya",4.2
"Jakaranda Veterinary Clinic & Surgery, Westlands - Nairobi",ChIJN5swCUEXLxgRR0JptVJHrsA,-1.2679033,36.8001589,"44482, Rhapta Road, Kenya",4.5
Small Five Vet Clinic and Pet relocation - Rongai Branch,ChIJh8nKyuwFLxgRQKHjwieHyTk,-1.3898467,36.7673288,"Riverside Business Complex (Hashi), Ongata Rongai, Magadi Rd, Nairobi, Kenya",4.4
Noble Veterinary Surgeons - South C,ChIJ13SgN5I_LxgReUpnhKqJJog,-1.3207798,36.8237721,"11 Five Star Rd, Nairobi, Kenya",4.9
St Austins Rd Veterinary Clinic,ChIJazUroj8bLxgR_SGSFomGbkk,-1.2827741,36.7668247,"91 James Gichuru Road, Nairobi, Kenya",4.8
The Andys Veterinary Hospital - Ngong Road,ChIJ9zyKeEMaLxgRZC3F83yKMPk,-1.3024748,36.755204,"Near Meteorological dept, Kenya",4.2
"Small Five Vet Clinic, Pet relocation, Kennels and Cattery - Karen Branch",ChIJu41PjKobLxgRVbVsvkuD5RY,-1.3384708,36.7546606,"Mokoyeti Rd W, Nairobi, Kenya",4.9
Noble Veterinary Surgeons - Westlands,ChIJVct63_kXLxgRt8Eb6wh5LG8,-1.257312,36.7859451,"Brookside Gardens, Nairobi, Kenya",4.9
NASCAH (Nairobi Small & Companion Animal Hospital),ChIJRcna78EXLxgRyWJiPBQ1abs,-1.1849821,36.8389138,"00621, 1999, Kiambu Road opposite KIST, Nairobi, Kenya",4.2
MOBIVET VETERINARY CLINIC,ChIJmwPd8l0ZLxgRjUqpG1tgo3s,-1.2792348,36.7798047,"75 Olenguruone Ave, Nairobi, Kenya",4.9
Westlands Paws Veterinary Clinic,ChIJtzhncxUXLxgRD9vLVWAu4T0,-1.2637177,36.8058099,"09 Mayfair Maisonattes B2, Mpaka Rd, Nairobi, Kenya",4.6
POSEIDON VETERINARY CLINIC,ChIJIyA4-VYQLxgRii0cTaQfc7A,-1.3135659,36.8176818,"Mai Mahiu Rd, Nairobi, Kenya",4.3
Cockar Veterinary Clinic,ChIJCyOvm-89LxgRhiI8tNO-Yjk,-1.2166761,36.7990798,"Rosslyn Lone Tree Estate Rd, Nairobi, Kenya",4.5
VET ON CALL CLINIC🇰🇪,ChIJeYcR6AgdLxgR09gTY9MbXoI,-1.3299479,36.6803805,"Ngong Rd, Nairobi, Kenya",4.9
Animal Care Centre,ChIJcebVgjUXLxgRl0vkV6m2DPc,-1.2294496,36.84191390000001,"Ridgeways Springs Behind Total Ridgeways, Kenya",3.9
Pets Center Veterinary Clinic,ChIJrRCX2gAXLxgR_cozbcznVng,-1.2501347,36.8203669,"Limuru Rd, Nairobi, Kenya",4.3
Animal's Choice Mobile Veterinary Clinic,ChIJ82OjkuwRLxgRXxaLZXweD3w,-1.2850881,36.8204967,"Kenyatta Ave, Nairobi, Kenya",4.5
Petville Veterinary clinic,ChIJpfL-DWkRLxgRNkkePvvrbG4,-1.3030987,36.8014378,"Mbaruk Road, Kenya",4.8
Petpals Vet Surgeons,ChIJqWlcWTMRLxgRVOw3bvnG_0c,-1.2884248,36.79616439999999,"KIMS Court, Theta Lane, Lenana Rd, Kenya",4.8
Dr. Krishna's Veterinary Clinic,ChIJ7VcGVjQXLxgR5_GXZca4Pok,-1.2519657,36.79877219999999,"General Mathenge Ln, Nairobi, Kenya",4.8
Yaya Veterinary Clinic,ChIJW1WzHFERLxgRWkax0s7B77w,-1.2951041,36.7988341,"Argwings Kodhek Road, Kenya",5
Westlands VetClinic (Dr Peter K) Your town trusted vet,ChIJp7GFk_AXLxgRol1-AGzTJ60,-1.2634052,36.8054037,"09 Mayfair, Kenya",3.6
